act	v.表演：举动：起作用 n.行为，法令：一幕
add	vt.加：增加（进）：进一步说／写vi.（to）增添
age	n.年龄；时代：老年：长时间v.（使）变老
ago	ad.（常和一般过去时的动词连用）以前，---前
aid	n.援助，救护：助手，辅助物 vi.援助，救援
aim	n.目的：瞄准vi.（at）目的在于vt.把···瞄准
air	n.空气：（复数）神气vt.（使）通风：晾干
and	conj.和，与，而且：那么；接连，又
all	a.全部的：非常的ad.完全地，很pron.全部
ant	n.蚁：蚂蚁
any	a.（用于否定句、疑问句等）什么，一些；任何的
apt	a.恰当的，适当的：易于···的，有···倾向的
arm	n.手臂，扶手，臂状物 v.武装：配备 n.武器
art	n.艺术，美术：技术，技艺：文科，人文科学
ash	n.灰，灰末：（pl.）骨灰：（pl.）废墟
ask	vt.问，询问：请求，要求：邀请，约请
awe	n.敬畏，惊惧 vt.使敬畏，使惊惧
axe	n.（ax）斧子：削减vt.用斧砍
bad	a.坏的：低劣的：不舒服的；腐败的：严重的
bag	n.袋，提包v.把···装入袋中；猎杀；占有
ban	v.取缔，查禁；（from）禁止n.禁止，禁令
bar	n.条，杆，闩；酒吧；栅，障碍（物）v.闩上，阻拦
bat	n.球拍，球棒，短棒；蝙蝠
bay	n.海湾，（港）湾
bed	n.床，床位：（苗）床，坛：河床，（湖、海的）底
bee	n.蜂，蜜蜂；忙碌的人
beg	vt.请求，乞求vi.恳请，行乞
bet	v.赌，打赌n.打赌，赌注
bid	v.祝愿；命令，吩咐；报价，投标 n.出众，投标
big	a.大的：重要的：宽宏大量的；大受欢迎的
bin	n.（贮藏食物等用的）箱子
bow	v.／n.鞠躬，点头n.弓（形）；蝴蝶结
box	n.盒，箱：包厢v.把···装箱；拳击，打耳光
boy	n.男孩子，儿子：男性服务员
bud	n.芽，花苞v.发芽，含苞欲放
bug	n.臭虫；小毛病；窃听器 v.窃听
bus	n.公共汽车，总线，信息通路
but	conj.但是prep.除...以外ad.只，才，仅仅
buy	vt.买，买得：向···行贿，收买 vi.购买东西
cab	n.出租车，出租马车；驾驶室 vi.乘出租马车
can	aux.v.能；可以n.罐头：容器vt.把···装罐
cap	n.便帽，军帽；盖，罩，套v.覆盖于···顶端
car	n.汽车，车辆，车；（火车）车厢
cat	n.猫：猫科；
cop	n.警察（slang 俚语）
cow	n.母牛，奶牛
cry	n.＆v.叫，喊，哭：（鸟兽）叫，啼，鸣，嗥
cue	暗示，提示，球杆
cup	n.杯子；奖杯，优胜杯；（一）杯，一杯的容量
cut	n.／v.切，割，削；削减，删节n.切口，伤口
dam	n.水坝，水闸
day	n.天，一昼夜：白昼，白天；时期，时代
dew	n.露水
die	vi.死，死亡：（草木）枯萎，凋谢；渴望
dig	v.挖，掘
dim	a.暗淡的，模糊的
dip	v.／n.浸，蘸
dog	n.狗，雄兽vt.尾随，跟踪
dot	n.点，圆点v.在···上打点
dry	a.干（早）的：干渴的：枯燥vt.使干燥，晒干
due	a.（to）应支付的；（车，船等）预定应到达的
dye	n.染料v.染，染色
ear	n.耳，耳朵：听力，听觉：穗
eat	vt.吃，喝vi.吃饭，吃东西
ebb	vi.衰退，减退n.处于低潮，处于衰退状态
egg	n.蛋；卵；卵形物
ego	n.自我，自负，利已主义：（心理学）自我意识
end	n.末端，端，梢：目标，目的v.终止，结束
era	n.时代，年代，阶段，纪元
eve	n.（节日等的）前夜，前夕
eye	n.眼（睛）；视力；眼力；监督vt.看，审视
fan	n.扇子，风扇；（影，球等）迷v.扇，扇动，激起
far	a.／ad.远，久远，遥远 ad.到···程度，···得多
fat	a.多脂肪的，肥胖的：丰厚的n.脂肪，肥肉
fax	n.／v.传真（机）
fee	n.费（会费，学费等）；酬金
few	a.［表肯定］有些，几个；［表否定］几乎没有的
fit	a.（病的）发作，痉挛v.／a.n.合适，试穿，安装
fix	v.（使）固定；修理；安装；决定；注视n.困境
flu	n.（influenza）流行性感冒
fly	n.飞行；苍蝇v飞行；飘杨 a.机敏的
fog	n.雾气，雾v.以雾笼罩，被雾笼罩
for	prep.为了；给；代替；向；支持conj.因为？
fox	n.狐狸
fry	v.油煎，油炸
fun	n.玩笑，娱乐；有趣的人（或事物）
fur	n.毛，毛皮
gap	n.缺口；差距；空白；缺乏
gas	n.气体：煤气：汽油；毒气vt.毒（死）：加油
gay	a.快乐的，愉快的，色彩鲜艳的n.同性恋
